,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead,dates
179,2020/1/21,ä¸_,CN,__º¬å¸,110000,æµ·æ__,110108,2,0,0,0,2020/1/21
180,2020/1/21,ä¸_,CN,__º¬å¸,110000,____,110112,1,0,0,0,2020/1/21
181,2020/1/21,ä¸_,CN,__º¬å¸,110000,__¹³_,110114,2,0,0,0,2020/1/21
182,2020/1/21,ä¸_,CN,__º¬å¸,110000,å¤§å__,110115,2,0,0,0,2020/1/21
183,2020/1/21,ä¸_,CN,å¤©æ´¥å¸,120000,,,2,0,0,0,2020/1/21
184,2020/1/21,ä¸_,CN,å±±è¥¿_,140000,,,0,1,0,0,2020/1/21
185,2020/1/21,ä¸_,CN,____,220000,,,0,1,0,0,2020/1/21
186,2020/1/21,ä¸_,CN,é»__æ±__,230000,,,0,1,0,0,2020/1/21
187,2020/1/21,ä¸_,CN,é»__æ±__,230000,_¡ä¸¹æ±__,231000,0,1,0,0,2020/1/21
188,2020/1/21,ä¸_,CN,ä¸_µ·å¸,310000,,,6,3,0,0,2020/1/21
189,2020/1/21,ä¸_,CN,æµ___,330000,,,5,0,0,0,2020/1/21
190,2020/1/21,ä¸_,CN,æµ___,330000,__å¸,330100,1,0,0,0,2020/1/21
191,2020/1/21,ä¸_,CN,æµ___,330000,æ¸©å_å¸,330300,2,0,0,0,2020/1/21
192,2020/1/21,ä¸_,CN,æµ___,330000,__±±å¸,330900,1,0,0,0,2020/1/21
193,2020/1/21,ä¸_,CN,æµ___,330000,_°å_å¸,331000,1,0,0,0,2020/1/21
194,2020/1/21,ä¸_,CN,å®_¾½_,340000,,,0,1,0,0,2020/1/21
195,2020/1/21,ä¸_,CN,å®_¾½_,340000,___å¸,340100,0,1,0,0,2020/1/21
196,2020/1/21,ä¸_,CN,æ±_¥¿_,360000,,,2,0,0,0,2020/1/21
197,2020/1/21,ä¸_,CN,æ±_¥¿_,360000,__¹¡å¸,360300,1,0,0,0,2020/1/21
198,2020/1/21,ä¸_,CN,æ±_¥¿_,360000,___å¸,361000,1,0,0,0,2020/1/21
199,2020/1/21,ä¸_,CN,å±±ä__,370000,,,1,0,0,0,2020/1/21
200,2020/1/21,ä¸_,CN,å±±ä__,370000,___å¸,370200,1,0,0,0,2020/1/21
201,2020/1/21,ä¸_,CN,æ²³å__,410000,,,1,0,0,0,2020/1/21
202,2020/1/21,ä¸_,CN,æ²³å__,410000,___å¸,410100,1,0,0,0,2020/1/21
203,2020/1/21,ä¸_,CN,æ¹___,420000,,,375,0,28,9,2020/1/21
204,2020/1/21,ä¸_,CN,æ¹___,430000,,,1,0,0,0,2020/1/21
205,2020/1/21,ä¸_,CN,æ¹___,430000,_¿æ_å¸,430100,1,0,0,0,2020/1/21
206,2020/1/21,ä¸_,CN,å¹¿ä__,440000,,,26,0,0,0,2020/1/21
207,2020/1/21,ä¸_,CN,å¹¿ä__,440000,å¹¿å_å¸,440100,2,0,0,0,2020/1/21
208,2020/1/21,ä¸_,CN,å¹¿ä__,440000,_¶å_å¸,440200,2,0,0,0,2020/1/21
209,2020/1/21,ä¸_,CN,å¹¿ä__,440000,æ·±å_å¸,440300,14,0,0,0,2020/1/21
210,2020/1/21,ä¸_,CN,å¹¿ä__,440000,__µ·å¸,440400,4,0,0,0,2020/1/21
211,2020/1/21,ä¸_,CN,å¹¿ä__,440000,ä½_±±å¸,440600,1,0,0,0,2020/1/21
212,2020/1/21,ä¸_,CN,å¹¿ä__,440000,æ¹__å¸,440800,2,0,0,0,2020/1/21
213,2020/1/21,ä¸_,CN,å¹¿ä__,440000,___å¸,441300,1,0,0,0,2020/1/21
214,2020/1/21,ä¸_,CN,å¹¿è¥¿å£__²»_,450000,,,0,2,0,0,2020/1/21
